FIPS,reason
20011,no ozone monitor
20013,no ozone monitor
20015,no ozone monitor
20017,no ozone monitor
20019,no ozone monitor
20021,no ozone monitor
20023,no ozone monitor
20025,no ozone monitor
20027,no ozone monitor
20029,no ozone monitor
20031,no ozone monitor
20033,no ozone monitor
20035,no ozone monitor
20037,no ozone monitor
20039,no ozone monitor
20041,no ozone monitor
20043,no ozone monitor
20047,no ozone monitor
20049,no ozone monitor
20051,no ozone monitor
20053,no ozone monitor
20055,no ozone monitor
20057,no ozone monitor
20059,no ozone monitor
20061,no ozone monitor
20063,no ozone monitor
20065,no ozone monitor
20067,no ozone monitor
20069,no ozone monitor
20071,no ozone monitor
20073,no ozone monitor
20075,no ozone monitor
20077,no ozone monitor
20079,no ozone monitor
20081,no ozone monitor
20083,no ozone monitor
20085,no ozone monitor
20087,no ozone monitor
20089,no ozone monitor
20093,no ozone monitor
20095,no ozone monitor
20097,no ozone monitor
20099,no ozone monitor
20101,no ozone monitor
20105,no ozone monitor
20107,no ozone monitor
20109,no ozone monitor
20111,no ozone monitor
20113,no ozone monitor
20115,no ozone monitor
20117,no ozone monitor
20119,no ozone monitor
20121,no ozone monitor
20123,no ozone monitor
20125,no ozone monitor
20127,no ozone monitor
20129,no ozone monitor
20131,no ozone monitor
20135,no ozone monitor
20137,no ozone monitor
20139,no ozone monitor
20141,no ozone monitor
20143,no ozone monitor
20145,no ozone monitor
20147,no ozone monitor
20149,no ozone monitor
20151,no ozone monitor
20153,no ozone monitor
20155,no ozone monitor
20157,no ozone monitor
20159,no ozone monitor
20161,no ozone monitor
20163,no ozone monitor
20165,no ozone monitor
20167,no ozone monitor
20169,no ozone monitor
20171,no ozone monitor
20175,no ozone monitor
20179,no ozone monitor
20181,no ozone monitor
20183,no ozone monitor
20185,no ozone monitor
20187,no ozone monitor
20189,no ozone monitor
20193,no ozone monitor
20197,no ozone monitor
20199,no ozone monitor
20201,no ozone monitor
20203,no ozone monitor
20205,no ozone monitor
20207,no ozone monitor
21001,no ozone monitor
21003,no ozone monitor
21005,no ozone monitor
21007,no ozone monitor
21009,no ozone monitor
21011,no ozone monitor
21013,"COPD prevalence suppressed (PLACES, small pop.)"
21015,"COPD prevalence suppressed (PLACES, small pop.)"
21017,no ozone monitor
21019,"COPD prevalence suppressed (PLACES, small pop.)"
21021,no ozone monitor
21023,no ozone monitor
21025,no ozone monitor
21027,no ozone monitor
21029,"COPD prevalence suppressed (PLACES, small pop.)"
21031,no ozone monitor
21033,no ozone monitor
21035,no ozone monitor
21037,"COPD prevalence suppressed (PLACES, small pop.)"
21039,no ozone monitor
21041,no ozone monitor
21043,"COPD prevalence suppressed (PLACES, small pop.)"
21045,no ozone monitor
21047,"COPD prevalence suppressed (PLACES, small pop.)"
21049,no ozone monitor
21051,no ozone monitor
21053,no ozone monitor
21055,no ozone monitor
21057,no ozone monitor
21059,"COPD prevalence suppressed (PLACES, small pop.)"
21061,"COPD prevalence suppressed (PLACES, small pop.)"
21063,no ozone monitor
21065,no ozone monitor
21067,"COPD prevalence suppressed (PLACES, small pop.)"
21069,no ozone monitor
21071,no ozone monitor
21073,no ozone monitor
21075,no ozone monitor
21077,no ozone monitor
21079,no ozone monitor
21081,no ozone monitor
21083,no ozone monitor
21085,no ozone monitor
21087,no ozone monitor
21089,"COPD prevalence suppressed (PLACES, small pop.)"
21091,"COPD prevalence suppressed (PLACES, small pop.)"
21093,"COPD prevalence suppressed (PLACES, small pop.)"
21095,no ozone monitor
21097,no ozone monitor
21099,no ozone monitor
21101,no ozone monitor
21103,no ozone monitor
21105,no ozone monitor
21107,no ozone monitor
21109,no ozone monitor
21111,"COPD prevalence suppressed (PLACES, small pop.)"
21113,"COPD prevalence suppressed (PLACES, small pop.)"
21115,no ozone monitor
21117,no ozone monitor
21119,no ozone monitor
21121,no ozone monitor
21123,no ozone monitor
21125,no ozone monitor
21127,no ozone monitor
21129,no ozone monitor
21131,no ozone monitor
21133,no ozone monitor
21135,no ozone monitor
21137,no ozone monitor
21139,"COPD prevalence suppressed (PLACES, small pop.)"
21141,no ozone monitor
21143,no ozone monitor
21145,"COPD prevalence suppressed (PLACES, small pop.)"
21147,no ozone monitor
21149,no ozone monitor
21151,no ozone monitor
21153,no ozone monitor
21155,no ozone monitor
21157,no ozone monitor
21159,no ozone monitor
21161,no ozone monitor
21163,no ozone monitor
21165,no ozone monitor
21167,no ozone monitor
21169,no ozone monitor
21171,no ozone monitor
21173,no ozone monitor
21175,"COPD prevalence suppressed (PLACES, small pop.)"
21177,no ozone monitor
21179,no ozone monitor
21181,no ozone monitor
21183,no ozone monitor
21185,"COPD prevalence suppressed (PLACES, small pop.)"
21187,no ozone monitor
21189,no ozone monitor
21191,no ozone monitor
21193,"COPD prevalence suppressed (PLACES, small pop.)"
21195,"COPD prevalence suppressed (PLACES, small pop.)"
21197,no ozone monitor
21199,"COPD prevalence suppressed (PLACES, small pop.)"
21201,no ozone monitor
21203,no ozone monitor
21205,no ozone monitor
21207,no ozone monitor
21209,no ozone monitor
21211,no ozone monitor
21213,"COPD prevalence suppressed (PLACES, small pop.)"
21215,no ozone monitor
21217,no ozone monitor
21219,no ozone monitor
21221,no ozone monitor
21223,no ozone monitor
21225,no ozone monitor
21227,"COPD prevalence suppressed (PLACES, small pop.)"
21229,"COPD prevalence suppressed (PLACES, small pop.)"
21231,no ozone monitor
21233,no ozone monitor
21235,no ozone monitor
21237,no ozone monitor
21239,no ozone monitor
22001,no ozone monitor
22003,no ozone monitor
22007,no ozone monitor
22009,no ozone monitor
22011,no ozone monitor
22013,no ozone monitor
22021,no ozone monitor
22023,no ozone monitor
22025,no ozone monitor
22027,no ozone monitor
22029,no ozone monitor
22031,no ozone monitor
22035,no ozone monitor
22037,no ozone monitor
22039,no ozone monitor
22041,no ozone monitor
22043,no ozone monitor
22045,no ozone monitor
22049,no ozone monitor
22053,no ozone monitor
22059,no ozone monitor
22061,no ozone monitor
22065,no ozone monitor
22067,no ozone monitor
22069,no ozone monitor
22071,no ozone monitor
22075,no ozone monitor
22079,no ozone monitor
22081,no ozone monitor
22083,no ozone monitor
22085,no ozone monitor
22089,no ozone monitor
22091,no ozone monitor
22097,no ozone monitor
22101,no ozone monitor
22105,no ozone monitor
22107,no ozone monitor
22109,no ozone monitor
22111,no ozone monitor
22113,no ozone monitor
22115,no ozone monitor
22117,no ozone monitor
22119,no ozone monitor
22123,no ozone monitor
22125,no ozone monitor
22127,no ozone monitor
23007,no ozone monitor
23015,no ozone monitor
23021,no ozone monitor
23025,no ozone monitor
23027,no ozone monitor
24001,no ozone monitor
24011,no ozone monitor
24027,no ozone monitor
24035,no ozone monitor
24037,no ozone monitor
24039,no ozone monitor
24041,no ozone monitor
24045,no ozone monitor
24047,no ozone monitor
25019,no ozone monitor
26001,no ozone monitor
26003,no ozone monitor
26007,no ozone monitor
26009,no ozone monitor
26011,no ozone monitor
26013,no ozone monitor
26015,no ozone monitor
26017,no ozone monitor
26023,no ozone monitor
26025,no ozone monitor
26029,no ozone monitor
26031,no ozone monitor
26033,no ozone monitor
26035,no ozone monitor
26039,no ozone monitor
26041,no ozone monitor
26043,no ozone monitor
26045,no ozone monitor
26047,no ozone monitor
26051,no ozone monitor
26053,no ozone monitor
26055,no ozone monitor
26057,no ozone monitor
26059,no ozone monitor
26061,no ozone monitor
26067,no ozone monitor
26069,no ozone monitor
26071,no ozone monitor
26073,no ozone monitor
26075,no ozone monitor
26079,no ozone monitor
26083,no ozone monitor
26085,no ozone monitor
26087,no ozone monitor
26089,no ozone monitor
26093,no ozone monitor
26095,no ozone monitor
26097,no ozone monitor
26103,no ozone monitor
26107,no ozone monitor
26109,no ozone monitor
26111,no ozone monitor
26115,no ozone monitor
26117,no ozone monitor
26119,no ozone monitor
26123,no ozone monitor
26127,no ozone monitor
26129,no ozone monitor
26131,no ozone monitor
26133,no ozone monitor
26135,no ozone monitor
26137,no ozone monitor
26141,no ozone monitor
26143,no ozone monitor
26145,no ozone monitor
26149,no ozone monitor
26151,no ozone monitor
26155,no ozone monitor
26159,no ozone monitor
27001,no ozone monitor
27009,no ozone monitor
27011,no ozone monitor
27015,no ozone monitor
27019,no ozone monitor
27021,no ozone monitor
27023,no ozone monitor
27025,no ozone monitor
27027,no ozone monitor
27029,no ozone monitor
27031,no ozone monitor
27033,no ozone monitor
27037,no ozone monitor
27039,no ozone monitor
27041,no ozone monitor
27043,no ozone monitor
27045,no ozone monitor
27047,no ozone monitor
27051,no ozone monitor
27055,no ozone monitor
27057,no ozone monitor
27059,no ozone monitor
27061,no ozone monitor
27063,no ozone monitor
27065,no ozone monitor
27067,no ozone monitor
27069,no ozone monitor
27071,no ozone monitor
27073,no ozone monitor
27077,no ozone monitor
27079,no ozone monitor
27081,no ozone monitor
27085,no ozone monitor
